indicator,level,name,sex,race_eth,median_earnings,median_earnings_se,median_earnings_low,median_earnings_upp
total,puma,0900301,total,total,55475,1334.2912071907124,53053,58287
total,puma,0900302,total,total,41331,741.8972046690913,39600,42511
total,puma,0900303,total,total,85000,1409.1842309521578,82895,88421
total,puma,0900304,total,total,64105,1781.8063378316017,61895,68884
total,puma,0900305,total,total,52988,953.0581606279849,51288,55027
total,puma,0900306,total,total,83736,1517.9908291322201,80922,86876
total,puma,0900500,total,total,63000,969.5824639140824,60936,64738
total,puma,0900700,total,total,70133,1567.6795503061755,68035,74183
total,puma,0900900,total,total,74183,1947.763950024852,71842,79482
total,puma,0900901,total,total,50000,1648.4562972759284,47689,54158
total,puma,0900902,total,total,60000,1358.3881399436552,57474,62802
total,puma,0900903,total,total,66316,1341.376054604999,64738,70000
total,puma,0900904,total,total,69632,1690.586427193303,66316,72947
total,puma,0900905,total,total,51288,1516.1288568483014,48000,53948
total,puma,0900906,total,total,72290,1409.0041466425175,70000,75527
total,puma,0901100,total,total,60789,1828.0660133244348,57568,64738
total,puma,0901101,total,total,68884,1408.9884227548687,66316,71842
total,puma,0901300,total,total,71842,1599.660658638935,68884,75158
total,puma,0901500,total,total,55263,1100.325701262045,53948,58264
by_sex,state,Connecticut,male,total,74183,550.4991458525542,73369,75527
by_sex,state,Connecticut,female,total,60406,281.87919545197093,59684,60789
by_sex,region,Backus Hospital HSA,male,total,68884,2026.2541076990594,65000,72947
by_sex,region,Backus Hospital HSA,female,total,51288,855.5286355591949,49632,52988
by_sex,region,Capitol Region COG,male,total,73269,805.5209555280919,71842,75000
by_sex,region,Capitol Region COG,female,total,60000,650.9271661714724,59343,61895
by_sex,region,Charlotte Hungerford HSA,male,total,71842,1919.5794597240656,68000,75527
by_sex,region,Charlotte Hungerford HSA,female,total,58000,1247.4596311364799,55108,60000
by_sex,region,Connecticut Metro COG,male,total,71004,2214.657001472399,66316,75000
by_sex,region,Connecticut Metro COG,female,total,59684,1691.957899627834,56167,62802
by_sex,region,Eastern Connecticut Health Network,male,total,66765,1537.2910903191282,64105,70133
by_sex,region,Eastern Connecticut Health Network,female,total,58264,1315.5779179649182,55263,60422
by_sex,region,Fairfield County,male,total,85000,1195.0099618851063,83736,88421
by_sex,region,Fairfield County,female,total,67975,1095.4801227922162,65705,70000
by_sex,region,Greater Bridgeport,male,total,71004,2214.657001472399,66316,75000
by_sex,region,Greater Bridgeport,female,total,59684,1691.957899627834,56167,62802
by_sex,region,Greater Danbury,male,total,78502,1559.680440745718,75527,81642
by_sex,region,Greater Danbury,female,total,64000,952.839804657903,62580,66316
by_sex,region,Greater Hartford,male,total,73269,805.5209555280919,71842,75000
by_sex,region,Greater Hartford,female,total,60000,650.9271661714724,59343,61895
by_sex,region,Greater New Haven,male,total,70133,1334.884104625767,68035,73269
by_sex,region,Greater New Haven,female,total,59343,1088.2249112167594,56522,60789
by_sex,region,Greater Norwalk,male,total,117000,4244.43862914641,110526,127171
by_sex,region,Greater Norwalk,female,total,79000,2435.5133448865654,74183,83736
by_sex,region,Greater Waterbury,male,total,68035,1744.8608046307493,65000,71842
by_sex,region,Greater Waterbury,female,total,57474,1274.9926998779613,55000,60000
by_sex,region,Hartford County,male,total,72064,1033.024872461621,70133,74183
by_sex,region,Hartford County,female,total,59343,711.36078775034,58000,60789
by_sex,region,Hartford Foundation,male,total,75527,973.5821622977029,74183,78000
by_sex,region,Hartford Foundation,female,total,61466,914.6266978224278,60000,63586
by_sex,region,Hartford Hospital HSA,male,total,71175,1118.4214429525794,68884,73269
by_sex,region,Hartford Hospital HSA,female,total,58287,1081.135226467274,56167,60406
by_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,male,total,75000,1409.0690333542366,71842,77368
by_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,female,total,56106,2155.2388226465837,52335,60789
by_sex,region,Hospital of Central Connecticut HSA,male,total,66896,1568.9468712579962,63848,70000
by_sex,region,Hospital of Central Connecticut HSA,female,total,56167,1362.523538271168,54000,59343
by_sex,region,Litchfield County,male,total,68884,2133.703872662304,65000,73369
by_sex,region,Litchfield County,female,total,55475,1375.1968882258052,53948,59343
by_sex,region,Lower Connecticut River Valley COG,male,total,75000,1851.3013255098967,72222,79482
by_sex,region,Lower Connecticut River Valley COG,female,total,64738,1868.0814182295903,61755,69082
by_sex,region,Lower Naugatuck Valley,male,total,80922,1334.7816852583626,78502,83736
by_sex,region,Lower Naugatuck Valley,female,total,65942,1125.5815880047107,63586,68000
by_sex,region,MidState Medical Center HSA,male,total,68884,1846.776191269224,65705,72947
by_sex,region,MidState Medical Center HSA,female,total,56522,1274.9464042965628,55000,60000
by_sex,region,Middlesex County,male,total,75000,1907.9372084162476,72064,79549
by_sex,region,Middlesex County,female,total,65000,2065.452487981139,61895,70000
by_sex,region,Natchaug Hospital HSA,male,total,69054,1449.5279089272315,66316,72000
by_sex,region,Natchaug Hospital HSA,female,total,56106,1253.279042778364,54428,59343
by_sex,region,Naugatuck Valley COG,male,total,70133,1118.4558895821722,68884,73269
by_sex,region,Naugatuck Valley COG,female,total,60000,1066.89122529679,58264,62447
by_sex,region,New Haven County,male,total,68884,1124.805387005326,66765,71175
by_sex,region,New Haven County,female,total,57568,926.3445121881006,56368,60000
by_sex,region,New London County,male,total,72290,1334.3572659324502,70129,75362
by_sex,region,New London County,female,total,52988,1449.062865853227,51790,57474
by_sex,region,North Central DMHAS,male,total,73018,767.2781415879674,71175,74183
by_sex,region,North Central DMHAS,female,total,59684,638.1911961432672,58287,60789
by_sex,region,Northeastern Connecticut COG,male,total,60789,1826.9967241728525,57568,64738
by_sex,region,Northeastern Connecticut COG,female,total,49737,1785.3974257137031,45979,52988
by_sex,region,Northwest Hills COG,male,total,69632,1925.8009767078916,65817,73369
by_sex,region,Northwest Hills COG,female,total,55816,1375.5997009862435,53948,59343
by_sex,region,QVHD,male,total,72000,1918.9715373107108,68000,75527
by_sex,region,QVHD,female,total,59000,1797.496901707486,55475,62526
by_sex,region,Sharon Hospital HSA,male,total,68884,2133.703872662304,65000,73369
by_sex,region,Sharon Hospital HSA,female,total,55475,1375.1968882258052,53948,59343
by_sex,region,South Central DMHAS,male,total,71842,1020.2706727994613,70000,74000
by_sex,region,South Central DMHAS,female,total,60000,836.5983890176342,58615,61895
by_sex,region,South Central Regional COG,male,total,68884,1362.4285225278652,66500,71842
by_sex,region,South Central Regional COG,female,total,57474,1020.131156519109,56000,60000
by_sex,region,Southeastern Connecticut COG,male,total,71842,1275.1127447649621,70000,75000
by_sex,region,Southeastern Connecticut COG,female,total,52988,1171.4230043928083,51928,56522
by_sex,region,Southeastern DMHAS,male,total,70000,970.9520539594881,68035,71842
by_sex,region,Southeastern DMHAS,female,total,52988,832.133388906247,52000,55263
by_sex,region,Southwestern DMHAS,male,total,88421,1711.9883179460587,85000,91712
by_sex,region,Southwestern DMHAS,female,total,68000,1128.3384514705972,65705,70129
by_sex,region,St. Vincent's Medical Center HSA,male,total,71842,1616.2181145544243,68663,75000
by_sex,region,St. Vincent's Medical Center HSA,female,total,60000,1358.791209625244,57474,62802
by_sex,region,Stamford Hospital HSA,male,total,94203,2813.052371676779,88969,100000
by_sex,region,Stamford Hospital HSA,female,total,74315,2231.798636950132,71842,80595
by_sex,region,Tolland County,male,total,77685,2220.3274565067386,74183,82895
by_sex,region,Tolland County,female,total,64738,2263.50782927625,60000,68884
by_sex,region,Western Connecticut COG,male,total,91712,1634.7811310326501,88969,95378
by_sex,region,Western Connecticut COG,female,total,71004,1160.7980936488643,69632,74183
by_sex,region,Western DMHAS,male,total,71842,1066.9249070033563,70000,74183
by_sex,region,Western DMHAS,female,total,60000,1094.925418212975,58287,62580
by_sex,region,Windham County,male,total,60789,1826.9967241728525,57568,64738
by_sex,region,Windham County,female,total,49737,1785.3974257137031,45979,52988
by_sex,region,Windham Hospital HSA,male,total,69054,1449.5279089272315,66316,72000
by_sex,region,Windham Hospital HSA,female,total,56106,1253.279042778364,54428,59343
by_sex,puma,0900100,male,total,79482,2226.892100512509,75000,83736
by_sex,puma,0900100,female,total,65000,1834.3069571773294,62802,70000
by_sex,puma,0900101,male,total,149211,5303.165140197613,138158,158964
by_sex,puma,0900101,female,total,95378,4125.87339246161,88475,104669
by_sex,puma,0900102,male,total,92791,3763.451972753327,85238,100000
by_sex,puma,0900102,female,total,74315,2484.2943290429525,71175,80922
by_sex,puma,0900103,male,total,105716,4001.792766781735,99436,115136
by_sex,puma,0900103,female,total,71004,3440.277919878745,65000,78502
by_sex,puma,0900104,male,total,45845,1577.9212448608544,43542,49737
by_sex,puma,0900104,female,total,42390,1795.0434900930738,39347,46395
by_sex,puma,0900105,male,total,86900,2294.3335562661996,83000,92000
by_sex,puma,0900105,female,total,69054,1374.816548277393,66896,72290
by_sex,puma,0900300,male,total,75362,1206.0054231399959,73269,78000
by_sex,puma,0900300,female,total,61466,1816.214784919267,58579,65705
by_sex,puma,0900301,male,total,57474,2255.7434448441345,53948,62802
by_sex,puma,0900301,female,total,53948,2043.6363329867597,50241,58264
by_sex,puma,0900302,male,total,42914,1079.2931762493054,41331,45570
by_sex,puma,0900302,female,total,37764,1869.129225552249,34527,41868
by_sex,puma,0900303,male,total,95378,2112.9060098564178,91712,100000
by_sex,puma,0900303,female,total,73269,1958.776976207438,70000,77685
by_sex,puma,0900304,male,total,70133,2304.996821487635,66316,75362
by_sex,puma,0900304,female,total,60000,1732.8107735618978,56000,62802
by_sex,puma,0900305,male,total,55108,1602.1875802969137,53053,59343
by_sex,puma,0900305,female,total,47600,2028.763797368277,43961,51928
by_sex,puma,0900306,male,total,88969,2280.0293110872717,85000,93947
by_sex,puma,0900306,female,total,75000,2641.237091197084,69632,80000
by_sex,puma,0900500,male,total,68884,2133.703872662304,65000,73369
by_sex,puma,0900500,female,total,55475,1375.1968882258052,53948,59343
by_sex,puma,0900700,male,total,75000,1907.9372084162476,72064,79549
by_sex,puma,0900700,female,total,65000,2065.452487981139,61895,70000
by_sex,puma,0900900,male,total,81789,2722.4540184688203,75527,86211
by_sex,puma,0900900,female,total,69054,1660.082596933716,65705,72222
by_sex,puma,0900901,male,total,54048,1969.5697377111294,49737,57474
by_sex,puma,0900901,female,total,46629,2290.372382937889,41001,50000
by_sex,puma,0900902,male,total,64738,1796.9681245206846,62580,69632
by_sex,puma,0900902,female,total,53948,1412.9982607504069,51928,57474
by_sex,puma,0900903,male,total,74183,2547.4089374003406,70000,80000
by_sex,puma,0900903,female,total,60789,1947.2915740259732,57000,64645
by_sex,puma,0900904,male,total,75000,2688.6367972196854,70133,80684
by_sex,puma,0900904,female,total,63000,2292.8933537753187,60000,69000
by_sex,puma,0900905,male,total,52335,1923.6525200505946,48553,56106
by_sex,puma,0900905,female,total,50000,2278.1822121226874,46055,55000
by_sex,puma,0900906,male,total,80000,2357.7625760265378,75527,84781
by_sex,puma,0900906,female,total,63586,2366.8788241447055,60708,70000
by_sex,puma,0901100,male,total,70129,2004.9465631932098,66316,74183
by_sex,puma,0901100,female,total,51790,831.2696685335463,49737,53000
by_sex,puma,0901101,male,total,75527,1583.3460667589895,72290,78502
by_sex,puma,0901101,female,total,57568,2550.836384174734,52988,63000
by_sex,puma,0901300,male,total,77685,2220.3274565067386,74183,82895
by_sex,puma,0901300,female,total,64738,2263.50782927625,60000,68884
by_sex,puma,0901500,male,total,60789,1826.9967241728525,57568,64738
by_sex,puma,0901500,female,total,49737,1785.3974257137031,45979,52988
by_race,state,Connecticut,total,white,75000,342.8536774430807,74183,75527
by_race,state,Connecticut,total,black,49718,847.1919674317779,47520,50842
by_race,state,Connecticut,total,latino,43961,550.4049385526374,43158,45316
by_race,state,Connecticut,total,api,83736,1912.238574201445,80922,88421
by_race,state,Connecticut,total,other_race,62000,1764.8275360885004,58287,65211
by_race,region,Backus Hospital HSA,total,white,65211,1259.78045321074,63586,68526
by_race,region,Backus Hospital HSA,total,black,44171,4637.720876940716,34484,52988
by_race,region,Backus Hospital HSA,total,latino,43158,1996.9628743083836,41868,49737
by_race,region,Backus Hospital HSA,total,api,42705,1790.0761130072478,38684,45782
by_race,region,Backus Hospital HSA,total,other_race,60000,7763.782889860862,50241,80922
by_race,region,Capitol Region COG,total,white,75000,496.6433531689262,74053,76000
by_race,region,Capitol Region COG,total,black,47689,1728.5769101287608,45008,51790
by_race,region,Capitol Region COG,total,latino,41868,884.0975432336178,40232,43700
by_race,region,Capitol Region COG,total,api,84000,2548.086918309922,80000,90000
by_race,region,Capitol Region COG,total,other_race,62580,4312.963242682117,55263,72222
by_race,region,Charlotte Hungerford HSA,total,white,64895,867.6856457091039,63586,66988
by_race,region,Charlotte Hungerford HSA,total,black,58615,4156.4446414350205,48632,65000
by_race,region,Charlotte Hungerford HSA,total,latino,52988,3350.5570517035376,45400,58579
by_race,region,Charlotte Hungerford HSA,total,api,80542,11772.96254397482,63586,109903
by_race,region,Charlotte Hungerford HSA,total,other_race,66988,7204.6584307947915,55263,83736
by_race,region,Connecticut Metro COG,total,white,86876,1331.0669201722985,84781,90000
by_race,region,Connecticut Metro COG,total,black,47000,1882.3286864202903,44211,51602
by_race,region,Connecticut Metro COG,total,latino,42390,1546.704300415382,39774,45845
by_race,region,Connecticut Metro COG,total,api,83736,9157.775057996147,69944,105976
by_race,region,Connecticut Metro COG,total,other_race,52988,5769.37919427807,40000,62802
by_race,region,Eastern Connecticut Health Network,total,white,68884,1239.2782535197769,66316,71175
by_race,region,Eastern Connecticut Health Network,total,black,46421,2514.862588730724,43105,52988
by_race,region,Eastern Connecticut Health Network,total,latino,43857,2241.809806415551,41001,49809
by_race,region,Eastern Connecticut Health Network,total,api,82000,3279.776195793012,75527,88421
by_race,region,Eastern Connecticut Health Network,total,other_race,60185,8760.331794256592,46421,81000
by_race,region,Fairfield County,total,white,93947,935.1176739120045,91712,95378
by_race,region,Fairfield County,total,black,51284,1809.0663285308722,47101,54200
by_race,region,Fairfield County,total,latino,45316,1234.4616517735562,43158,48000
by_race,region,Fairfield County,total,api,104669,3859.2617616722555,95378,110526
by_race,region,Fairfield County,total,other_race,61755,3813.5181558200975,55000,70000
by_race,region,Greater Bridgeport,total,white,86876,1331.0669201722985,84781,90000
by_race,region,Greater Bridgeport,total,black,47000,1882.3286864202903,44211,51602
by_race,region,Greater Bridgeport,total,latino,42390,1546.704300415382,39774,45845
by_race,region,Greater Bridgeport,total,api,83736,9157.775057996147,69944,105976
by_race,region,Greater Bridgeport,total,other_race,52988,5769.37919427807,40000,62802
by_race,region,Greater Danbury,total,white,77363,1143.2408339033755,75000,79482
by_race,region,Greater Danbury,total,black,55263,5780.5976584439995,46892,69632
by_race,region,Greater Danbury,total,latino,47526,2580.96311138048,41868,52000
by_race,region,Greater Danbury,total,api,80000,8301.678907432935,68035,100677
by_race,region,Greater Danbury,total,other_race,54711,4390.3237673827725,47700,65000
by_race,region,Greater Hartford,total,white,75000,496.6433531689262,74053,76000
by_race,region,Greater Hartford,total,black,47689,1728.5769101287608,45008,51790
by_race,region,Greater Hartford,total,latino,41868,884.0975432336178,40232,43700
by_race,region,Greater Hartford,total,api,84000,2548.086918309922,80000,90000
by_race,region,Greater Hartford,total,other_race,62580,4312.963242682117,55263,72222
by_race,region,Greater New Haven,total,white,72395,946.0112679239526,70474,74183
by_race,region,Greater New Haven,total,black,49737,2182.685688099894,44300,52869
by_race,region,Greater New Haven,total,latino,44211,1703.3285007884847,41868,48553
by_race,region,Greater New Haven,total,api,82661,6836.883710132506,70133,97000
by_race,region,Greater New Haven,total,other_race,63586,4035.0580440005756,55263,71175
by_race,region,Greater Norwalk,total,white,117230,3845.011270905464,110526,125603
by_race,region,Greater Norwalk,total,black,53000,4948.050465813236,46421,65942
by_race,region,Greater Norwalk,total,latino,50711,2571.0621345311415,45000,55108
by_race,region,Greater Norwalk,total,api,117000,6885.655600079322,107896,135000
by_race,region,Greater Norwalk,total,other_race,97107,14268.498942873985,69000,125603
by_race,region,Greater Waterbury,total,white,68526,973.5232343650766,66316,70133
by_race,region,Greater Waterbury,total,black,45979,2525.3615702714105,42390,52335
by_race,region,Greater Waterbury,total,latino,45000,1772.448367660641,42000,48963
by_race,region,Greater Waterbury,total,api,74183,4895.236750240063,69082,88421
by_race,region,Greater Waterbury,total,other_race,63659,6210.880992426551,53948,78502
by_race,region,Hartford County,total,white,74183,575.9627062689685,73269,75527
by_race,region,Hartford County,total,black,48553,1428.5388720407627,46395,52000
by_race,region,Hartford County,total,latino,41868,884.067777635133,40232,43700
by_race,region,Hartford County,total,api,83721,2430.14664033164,79482,89020
by_race,region,Hartford County,total,other_race,62802,4534.505207432784,55108,72947
by_race,region,Hartford Foundation,total,white,77368,825.6760833963116,75527,78764
by_race,region,Hartford Foundation,total,black,49195,1814.5078263785992,45868,52988
by_race,region,Hartford Foundation,total,latino,42390,818.3826961966411,41000,44211
by_race,region,Hartford Foundation,total,api,87000,3043.767858072034,82000,93947
by_race,region,Hartford Foundation,total,other_race,63586,4564.347941605726,57568,75527
by_race,region,Hartford Hospital HSA,total,white,75527,973.5878349109171,74183,78000
by_race,region,Hartford Hospital HSA,total,black,47206,1507.6076630537762,44211,50127
by_race,region,Hartford Hospital HSA,total,latino,41001,1128.99701508893,38728,43158
by_race,region,Hartford Hospital HSA,total,api,85829,2831.983223112637,80595,91712
by_race,region,Hartford Hospital HSA,total,other_race,62802,5341.862374974854,52335,73369
by_race,region,Health Improvement Collaborative of Southeastern Connecticut area,total,white,70129,1306.2238437640585,67825,72947
by_race,region,Health Improvement Collaborative of Southeastern Connecticut area,total,black,46800,6150.056853770197,44211,68526
by_race,region,Health Improvement Collaborative of Southeastern Connecticut area,total,latino,44211,2473.425846204566,40000,49737
by_race,region,Health Improvement Collaborative of Southeastern Connecticut area,total,api,86900,6191.641593068027,75000,99436
by_race,region,Health Improvement Collaborative of Southeastern Connecticut area,total,other_race,68526,6343.150458453076,52335,77368
by_race,region,Hospital of Central Connecticut HSA,total,white,69000,1409.4276621471283,66316,71842
by_race,region,Hospital of Central Connecticut HSA,total,black,47689,2609.3935306256267,43547,53826
by_race,region,Hospital of Central Connecticut HSA,total,latino,41337,1176.022371286496,39382,44000
by_race,region,Hospital of Central Connecticut HSA,total,api,65000,4930.996729592293,58287,77685
by_race,region,Hospital of Central Connecticut HSA,total,other_race,57000,5633.2290093530855,51000,73269
by_race,region,Litchfield County,total,white,63586,740.2930471836197,62802,65705
by_race,region,Litchfield County,total,black,58615,8185.560657832738,47101,80000
by_race,region,Litchfield County,total,latino,52988,4929.262885036271,42000,61466
by_race,region,Litchfield County,total,api,70129,15768.09626895317,53948,117230
by_race,region,Litchfield County,total,other_race,65000,7137.827968347065,55263,83721
by_race,region,Lower Connecticut River Valley COG,total,white,74183,1315.4645282748784,71842,77000
by_race,region,Lower Connecticut River Valley COG,total,black,46395,4582.42780967266,38000,56106
by_race,region,Lower Connecticut River Valley COG,total,latino,53948,5614.495705943268,44211,66316
by_race,region,Lower Connecticut River Valley COG,total,api,73164,8675.826188987785,58579,92842
by_race,region,Lower Connecticut River Valley COG,total,other_race,57568,7118.002963035631,42000,70129
by_race,region,Lower Naugatuck Valley,total,white,77368,1275.2394065907674,75000,80000
by_race,region,Lower Naugatuck Valley,total,black,57474,3055.1391083372273,52988,65000
by_race,region,Lower Naugatuck Valley,total,latino,55108,3102.0039570654753,51398,63586
by_race,region,Lower Naugatuck Valley,total,api,79843,7226.8809685284195,72222,100677
by_race,region,Lower Naugatuck Valley,total,other_race,64105,7561.588082273752,52988,82895
by_race,region,MidState Medical Center HSA,total,white,69054,1261.4371774666351,66896,71842
by_race,region,MidState Medical Center HSA,total,black,49295,2059.2163303246107,44211,52335
by_race,region,MidState Medical Center HSA,total,latino,47101,1469.8936524626583,43961,49737
by_race,region,MidState Medical Center HSA,total,api,64895,8765.425189814021,49600,84159
by_race,region,MidState Medical Center HSA,total,other_race,53948,3108.969521130669,51288,63586
by_race,region,Middlesex County,total,white,74607,1408.98779525407,71842,77368
by_race,region,Middlesex County,total,black,46395,4535.552159259783,38000,56106
by_race,region,Middlesex County,total,latino,53948,5709.810931472708,43698,66316
by_race,region,Middlesex County,total,api,73164,10019.74764267271,53948,93947
by_race,region,Middlesex County,total,other_race,57568,8542.697438121948,41868,76000
by_race,region,Natchaug Hospital HSA,total,white,65942,831.9703058392931,64738,68000
by_race,region,Natchaug Hospital HSA,total,black,41447,6688.891949883743,33912,60406
by_race,region,Natchaug Hospital HSA,total,latino,43158,2404.9945583372323,38684,48148
by_race,region,Natchaug Hospital HSA,total,api,76303,7972.96485340255,58615,90080
by_race,region,Natchaug Hospital HSA,total,other_race,60185,7103.6556411057845,52988,81000
by_race,region,Naugatuck Valley COG,total,white,70133,581.066951723319,69944,72222
by_race,region,Naugatuck Valley COG,total,black,50842,2039.7463327818627,46418,54428
by_race,region,Naugatuck Valley COG,total,latino,47101,1964.9615618487244,43158,50869
by_race,region,Naugatuck Valley COG,total,api,72222,3146.1231432417353,69632,82001
by_race,region,Naugatuck Valley COG,total,other_race,62802,5439.493155540698,53948,75362
by_race,region,New Haven County,total,white,71842,799.9017651617643,70133,73269
by_race,region,New Haven County,total,black,49737,1619.5152816086288,45979,52335
by_race,region,New Haven County,total,latino,45000,1198.2162169847077,42400,47101
by_race,region,New Haven County,total,api,77368,3730.1560433907325,70129,84781
by_race,region,New Haven County,total,other_race,62802,3742.9019691275093,55263,70000
by_race,region,New London County,total,white,68884,1239.1529982135025,66316,71175
by_race,region,New London County,total,black,45316,2516.173784960145,44000,53948
by_race,region,New London County,total,latino,43158,1724.8188862821198,41763,48553
by_race,region,New London County,total,api,59343,7399.260018037835,47101,76303
by_race,region,New London County,total,other_race,65000,6176.41882414388,52988,77363
by_race,region,North Central DMHAS,total,white,74183,575.9855426302154,73269,75527
by_race,region,North Central DMHAS,total,black,48000,1587.4262070582342,45700,51928
by_race,region,North Central DMHAS,total,latino,41868,853.8118864102569,40193,43542
by_race,region,North Central DMHAS,total,api,83080,2417.507665624083,79482,88969
by_race,region,North Central DMHAS,total,other_race,62526,3783.542156786814,55263,70133
by_race,region,Northeastern Connecticut COG,total,white,58264,1388.0457737819347,55263,60708
by_race,region,Northeastern Connecticut COG,total,black,44171,18873.58080513992,36032,118276
by_race,region,Northeastern Connecticut COG,total,latino,38000,3568.431871668223,34000,48148
by_race,region,Northeastern Connecticut COG,total,api,74183,15428.138054918172,30211,94203
by_race,region,Northeastern Connecticut COG,total,other_race,70000,9281.978204833438,57000,94203
by_race,region,Northwest Hills COG,total,white,63848,768.9534839609156,62802,65817
by_race,region,Northwest Hills COG,total,black,57568,4843.7221911793295,47101,66316
by_race,region,Northwest Hills COG,total,latino,51947,3954.576911940728,42000,57568
by_race,region,Northwest Hills COG,total,api,69632,14131.249270984697,53948,110000
by_race,region,Northwest Hills COG,total,other_race,64738,6477.497510419057,55263,80922
by_race,region,QVHD,total,white,70133,1369.039838366019,68000,73369
by_race,region,QVHD,total,black,53381,2928.13114103137,51000,62526
by_race,region,QVHD,total,latino,47101,2157.0592151627743,42390,50869
by_race,region,QVHD,total,api,70129,7118.734074375954,61895,90000
by_race,region,QVHD,total,other_race,63000,6463.369849456484,53826,79482
by_race,region,Sharon Hospital HSA,total,white,63586,740.2930471836197,62802,65705
by_race,region,Sharon Hospital HSA,total,black,58615,8185.560657832738,47101,80000
by_race,region,Sharon Hospital HSA,total,latino,52988,4929.262885036271,42000,61466
by_race,region,Sharon Hospital HSA,total,api,70129,15768.09626895317,53948,117230
by_race,region,Sharon Hospital HSA,total,other_race,65000,7137.827968347065,55263,83721
by_race,region,South Central DMHAS,total,white,73000,597.1402028783294,71842,74183
by_race,region,South Central DMHAS,total,black,50000,1404.9974909128193,47474,52988
by_race,region,South Central DMHAS,total,latino,47101,1408.4833689302097,44211,49737
by_race,region,South Central DMHAS,total,api,77368,4122.284783212554,70129,86317
by_race,region,South Central DMHAS,total,other_race,58615,3093.774581270596,53826,66000
by_race,region,South Central Regional COG,total,white,71842,800.8830901270453,70129,73269
by_race,region,South Central Regional COG,total,black,49737,1993.1748756426268,44510,52335
