year,level,name,race,group,estimate,moe,share,sharemoe
2021,2_county,Fairfield County,latino,high_school,34343,1539,0.29,0.011
2021,2_county,Fairfield County,latino,some_college_aa,25981,1325,0.22,0.01
2021,2_county,Fairfield County,latino,bachelors_plus,23952,1244,0.2,0.009
2021,2_county,Fairfield County,asian,ages25plus,36670,1159,NA,NA
2021,2_county,Fairfield County,asian,less_than_hs,3636,428,0.1,0.011
2021,2_county,Fairfield County,asian,high_school,4257,516,0.12,0.014
2021,2_county,Fairfield County,asian,some_college_aa,3535,478,0.1,0.013
2021,2_county,Fairfield County,asian,bachelors_plus,25242,816,0.69,0.005
2021,2_county,Fairfield County,aian,ages25plus,1513,307,NA,NA
2021,2_county,Fairfield County,aian,less_than_hs,388,129,0.26,0.068
2021,2_county,Fairfield County,aian,high_school,388,176,0.26,0.104
2021,2_county,Fairfield County,aian,some_college_aa,278,125,0.18,0.074
2021,2_county,Fairfield County,aian,bachelors_plus,459,175,0.3,0.098
2021,2_county,Fairfield County,other_race,ages25plus,80578,2578,NA,NA
2021,2_county,Fairfield County,other_race,less_than_hs,22210,1311,0.28,0.014
2021,2_county,Fairfield County,other_race,high_school,23667,1498,0.29,0.016
2021,2_county,Fairfield County,other_race,some_college_aa,16569,1140,0.21,0.013
2021,2_county,Fairfield County,other_race,bachelors_plus,18132,1177,0.23,0.013
2021,2_county,Hartford County,total,ages25plus,628684,5819,NA,NA
2021,2_county,Hartford County,total,less_than_hs,60946,2069,0.1,0.003
2021,2_county,Hartford County,total,high_school,162392,2646,0.26,0.003
2021,2_county,Hartford County,total,some_college_aa,158752,3320,0.25,0.005
2021,2_county,Hartford County,total,bachelors_plus,246594,3400,0.39,0.004
2021,2_county,Hartford County,white,ages25plus,403449,3729,NA,NA
2021,2_county,Hartford County,white,less_than_hs,21507,1038,0.05,0.003
2021,2_county,Hartford County,white,high_school,97499,1669,0.24,0.003
2021,2_county,Hartford County,white,some_college_aa,103258,2234,0.26,0.005
2021,2_county,Hartford County,white,bachelors_plus,181185,2247,0.45,0.004
2021,2_county,Hartford County,black,ages25plus,81495,2353,NA,NA
2021,2_county,Hartford County,black,less_than_hs,9460,765,0.12,0.009
2021,2_county,Hartford County,black,high_school,27627,1392,0.34,0.014
2021,2_county,Hartford County,black,some_college_aa,25227,1302,0.31,0.013
2021,2_county,Hartford County,black,bachelors_plus,19181,1149,0.24,0.012
2021,2_county,Hartford County,latino,ages25plus,97297,2364,NA,NA
2021,2_county,Hartford County,latino,less_than_hs,26188,1216,0.27,0.011
2021,2_county,Hartford County,latino,high_school,30820,1345,0.32,0.011
2021,2_county,Hartford County,latino,some_college_aa,23938,1098,0.25,0.01
2021,2_county,Hartford County,latino,bachelors_plus,16351,1048,0.17,0.01
2021,2_county,Hartford County,asian,ages25plus,34730,1006,NA,NA
2021,2_county,Hartford County,asian,less_than_hs,3447,385,0.1,0.011
2021,2_county,Hartford County,asian,high_school,3549,429,0.1,0.012
2021,2_county,Hartford County,asian,some_college_aa,3667,523,0.11,0.015
2021,2_county,Hartford County,asian,bachelors_plus,24067,638,0.69,0.027
2021,2_county,Hartford County,aian,ages25plus,1453,337,NA,NA
2021,2_county,Hartford County,aian,less_than_hs,381,218,0.26,0.137
2021,2_county,Hartford County,aian,high_school,321,117,0.22,0.062
2021,2_county,Hartford County,aian,some_college_aa,454,190,0.31,0.109
2021,2_county,Hartford County,aian,bachelors_plus,297,127,0.2,0.073
2021,2_county,Hartford County,other_race,ages25plus,68356,2336,NA,NA
2021,2_county,Hartford County,other_race,less_than_hs,16313,1010,0.24,0.012
2021,2_county,Hartford County,other_race,high_school,22331,1403,0.33,0.017
2021,2_county,Hartford County,other_race,some_college_aa,16109,1129,0.24,0.014
2021,2_county,Hartford County,other_race,bachelors_plus,13603,1094,0.2,0.014
2021,2_county,Litchfield County,total,ages25plus,137919,2649,NA,NA
2021,2_county,Litchfield County,total,less_than_hs,8426,660,0.06,0.005
2021,2_county,Litchfield County,total,high_school,40662,1403,0.29,0.008
2021,2_county,Litchfield County,total,some_college_aa,38925,1557,0.28,0.01
2021,2_county,Litchfield County,total,bachelors_plus,49906,1480,0.36,0.008
2021,2_county,Litchfield County,white,ages25plus,123233,2406,NA,NA
2021,2_county,Litchfield County,white,less_than_hs,6545,568,0.05,0.004
2021,2_county,Litchfield County,white,high_school,36938,1307,0.3,0.009
2021,2_county,Litchfield County,white,some_college_aa,35279,1382,0.29,0.01
2021,2_county,Litchfield County,white,bachelors_plus,44471,1360,0.36,0.008
2021,2_county,Litchfield County,black,ages25plus,2192,338,NA,NA
2021,2_county,Litchfield County,black,less_than_hs,221,136,0.1,0.06
2021,2_county,Litchfield County,black,high_school,812,200,0.37,0.071
2021,2_county,Litchfield County,black,some_college_aa,643,172,0.29,0.064
2021,2_county,Litchfield County,black,bachelors_plus,516,160,0.24,0.063
2021,2_county,Litchfield County,latino,ages25plus,7544,614,NA,NA
2021,2_county,Litchfield County,latino,less_than_hs,1414,233,0.19,0.027
2021,2_county,Litchfield County,latino,high_school,1788,293,0.24,0.034
2021,2_county,Litchfield County,latino,some_college_aa,2056,333,0.27,0.038
2021,2_county,Litchfield County,latino,bachelors_plus,2286,355,0.3,0.04
2021,2_county,Litchfield County,asian,ages25plus,2343,282,NA,NA
2021,2_county,Litchfield County,asian,less_than_hs,136,72,0.06,0.03
2021,2_county,Litchfield County,asian,high_school,536,153,0.23,0.059
2021,2_county,Litchfield County,asian,some_college_aa,332,124,0.14,0.05
2021,2_county,Litchfield County,asian,bachelors_plus,1339,188,0.57,0.041
2021,2_county,Litchfield County,aian,ages25plus,148,79,NA,NA
2021,2_county,Litchfield County,aian,less_than_hs,18,24,0.12,0.149
2021,2_county,Litchfield County,aian,high_school,32,32,0.22,0.183
2021,2_county,Litchfield County,aian,some_college_aa,78,54,0.53,0.232
2021,2_county,Litchfield County,aian,bachelors_plus,20,41,0.14,0.267
2021,2_county,Litchfield County,other_race,ages25plus,5786,641,NA,NA
2021,2_county,Litchfield County,other_race,less_than_hs,795,248,0.14,0.04
2021,2_county,Litchfield County,other_race,high_school,1234,243,0.21,0.035
2021,2_county,Litchfield County,other_race,some_college_aa,1442,289,0.25,0.042
2021,2_county,Litchfield County,other_race,bachelors_plus,2315,454,0.4,0.065
2021,2_county,Middlesex County,total,ages25plus,121357,2681,NA,NA
2021,2_county,Middlesex County,total,less_than_hs,6084,692,0.05,0.006
2021,2_county,Middlesex County,total,high_school,30523,1315,0.25,0.009
2021,2_county,Middlesex County,total,some_college_aa,31813,1408,0.26,0.01
2021,2_county,Middlesex County,total,bachelors_plus,52937,1732,0.44,0.011
2021,2_county,Middlesex County,white,ages25plus,103261,2126,NA,NA
2021,2_county,Middlesex County,white,less_than_hs,4068,470,0.04,0.004
2021,2_county,Middlesex County,white,high_school,25709,1200,0.25,0.01
2021,2_county,Middlesex County,white,some_college_aa,27326,1164,0.26,0.01
2021,2_county,Middlesex County,white,bachelors_plus,46158,1225,0.45,0.007
2021,2_county,Middlesex County,black,ages25plus,5931,629,NA,NA
2021,2_county,Middlesex County,black,less_than_hs,744,243,0.13,0.039
2021,2_county,Middlesex County,black,high_school,1997,336,0.34,0.044
2021,2_county,Middlesex County,black,some_college_aa,1683,375,0.28,0.056
2021,2_county,Middlesex County,black,bachelors_plus,1507,289,0.25,0.041
2021,2_county,Middlesex County,latino,ages25plus,6404,671,NA,NA
2021,2_county,Middlesex County,latino,less_than_hs,970,339,0.15,0.051
2021,2_county,Middlesex County,latino,high_school,1768,330,0.28,0.043
2021,2_county,Middlesex County,latino,some_college_aa,1996,381,0.31,0.05
2021,2_county,Middlesex County,latino,bachelors_plus,1670,286,0.26,0.035
2021,2_county,Middlesex County,asian,ages25plus,3429,387,NA,NA
2021,2_county,Middlesex County,asian,less_than_hs,235,112,0.07,0.032
2021,2_county,Middlesex County,asian,high_school,621,211,0.18,0.058
2021,2_county,Middlesex County,asian,some_college_aa,404,145,0.12,0.04
2021,2_county,Middlesex County,asian,bachelors_plus,2169,267,0.63,0.031
2021,2_county,Middlesex County,aian,ages25plus,233,131,NA,NA
2021,2_county,Middlesex County,aian,less_than_hs,14,42,0.06,0.177
2021,2_county,Middlesex County,aian,high_school,22,44,0.09,0.181
2021,2_county,Middlesex County,aian,some_college_aa,162,107,0.7,0.241
2021,2_county,Middlesex County,aian,bachelors_plus,35,48,0.15,0.188
2021,2_county,Middlesex County,other_race,ages25plus,5445,666,NA,NA
2021,2_county,Middlesex County,other_race,less_than_hs,646,304,0.12,0.054
2021,2_county,Middlesex County,other_race,high_school,1472,335,0.27,0.052
2021,2_county,Middlesex County,other_race,some_college_aa,1282,327,0.24,0.053
2021,2_county,Middlesex County,other_race,bachelors_plus,2045,362,0.38,0.048
2021,2_county,New Haven County,total,ages25plus,604512,6215,NA,NA
2021,2_county,New Haven County,total,less_than_hs,58496,2270,0.1,0.004
2021,2_county,New Haven County,total,high_school,178934,3298,0.3,0.005
2021,2_county,New Haven County,total,some_college_aa,145546,3135,0.24,0.005
2021,2_county,New Haven County,total,bachelors_plus,221536,3573,0.37,0.005
2021,2_county,New Haven County,white,ages25plus,401028,4041,NA,NA
2021,2_county,New Haven County,white,less_than_hs,22760,1282,0.06,0.003
2021,2_county,New Haven County,white,high_school,112435,2363,0.28,0.005
2021,2_county,New Haven County,white,some_college_aa,96699,1959,0.24,0.004
2021,2_county,New Haven County,white,bachelors_plus,169134,2295,0.42,0.004
2021,2_county,New Haven County,black,ages25plus,76295,2250,NA,NA
2021,2_county,New Haven County,black,less_than_hs,9032,785,0.12,0.01
2021,2_county,New Haven County,black,high_school,28531,1241,0.37,0.012
2021,2_county,New Haven County,black,some_college_aa,21159,1242,0.28,0.014
2021,2_county,New Haven County,black,bachelors_plus,17573,1166,0.23,0.014
2021,2_county,New Haven County,latino,ages25plus,93257,2635,NA,NA
2021,2_county,New Haven County,latino,less_than_hs,23809,1343,0.26,0.012
2021,2_county,New Haven County,latino,high_school,32670,1431,0.35,0.012
2021,2_county,New Haven County,latino,some_college_aa,22190,1326,0.24,0.013
2021,2_county,New Haven County,latino,bachelors_plus,14588,1155,0.16,0.012
2021,2_county,New Haven County,asian,ages25plus,24248,914,NA,NA
2021,2_county,New Haven County,asian,less_than_hs,2496,368,0.1,0.015
2021,2_county,New Haven County,asian,high_school,3170,431,0.13,0.017
2021,2_county,New Haven County,asian,some_college_aa,3034,380,0.13,0.015
2021,2_county,New Haven County,asian,bachelors_plus,15548,609,0.64,0.007
2021,2_county,New Haven County,aian,ages25plus,858,208,NA,NA
2021,2_county,New Haven County,aian,less_than_hs,295,136,0.34,0.135
2021,2_county,New Haven County,aian,high_school,201,96,0.23,0.096
2021,2_county,New Haven County,aian,some_college_aa,242,105,0.28,0.101
2021,2_county,New Haven County,aian,bachelors_plus,120,67,0.14,0.07
2021,2_county,New Haven County,other_race,ages25plus,61413,2536,NA,NA
2021,2_county,New Haven County,other_race,less_than_hs,14274,1265,0.23,0.018
2021,2_county,New Haven County,other_race,high_school,20198,1433,0.33,0.019
2021,2_county,New Haven County,other_race,some_college_aa,14571,1164,0.24,0.016
2021,2_county,New Haven County,other_race,bachelors_plus,12370,1193,0.2,0.018
2021,2_county,New London County,total,ages25plus,189965,3141,NA,NA
2021,2_county,New London County,total,less_than_hs,13223,943,0.07,0.005
2021,2_county,New London County,total,high_school,54331,1520,0.29,0.006
2021,2_county,New London County,total,some_college_aa,56768,1851,0.3,0.008
2021,2_county,New London County,total,bachelors_plus,65643,1801,0.35,0.008
2021,2_county,New London County,white,ages25plus,149137,2490,NA,NA
2021,2_county,New London County,white,less_than_hs,7103,743,0.05,0.005
2021,2_county,New London County,white,high_school,41834,1305,0.28,0.007
2021,2_county,New London County,white,some_college_aa,45168,1359,0.3,0.008
2021,2_county,New London County,white,bachelors_plus,55032,1447,0.37,0.007
2021,2_county,New London County,black,ages25plus,10526,853,NA,NA
2021,2_county,New London County,black,less_than_hs,1542,400,0.15,0.036
2021,2_county,New London County,black,high_school,3398,484,0.32,0.038
2021,2_county,New London County,black,some_college_aa,3681,431,0.35,0.03
2021,2_county,New London County,black,bachelors_plus,1905,385,0.18,0.034
2021,2_county,New London County,latino,ages25plus,16453,984,NA,NA
2021,2_county,New London County,latino,less_than_hs,3451,478,0.21,0.026
2021,2_county,New London County,latino,high_school,6015,561,0.37,0.026
2021,2_county,New London County,latino,some_college_aa,4584,532,0.28,0.028
2021,2_county,New London County,latino,bachelors_plus,2403,375,0.15,0.021
2021,2_county,New London County,asian,ages25plus,7874,571,NA,NA
2021,2_county,New London County,asian,less_than_hs,881,205,0.11,0.025
2021,2_county,New London County,asian,high_school,1643,262,0.21,0.03
2021,2_county,New London County,asian,some_college_aa,1392,249,0.18,0.029
2021,2_county,New London County,asian,bachelors_plus,3958,393,0.5,0.034
2021,2_county,New London County,aian,ages25plus,1092,212,NA,NA
2021,2_county,New London County,aian,less_than_hs,70,59,0.06,0.053
2021,2_county,New London County,aian,high_school,380,124,0.35,0.091
2021,2_county,New London County,aian,some_college_aa,422,132,0.39,0.095
2021,2_county,New London County,aian,bachelors_plus,220,92,0.2,0.075
2021,2_county,New London County,other_race,ages25plus,14963,1044,NA,NA
2021,2_county,New London County,other_race,less_than_hs,2159,446,0.14,0.028
2021,2_county,New London County,other_race,high_school,5252,585,0.35,0.03
2021,2_county,New London County,other_race,some_college_aa,4229,563,0.28,0.032
2021,2_county,New London County,other_race,bachelors_plus,3323,481,0.22,0.028
2021,2_county,Tolland County,total,ages25plus,95783,2192,NA,NA
2021,2_county,Tolland County,total,less_than_hs,4959,640,0.05,0.007
2021,2_county,Tolland County,total,high_school,25023,1154,0.26,0.01
2021,2_county,Tolland County,total,some_college_aa,24787,1102,0.26,0.01
2021,2_county,Tolland County,total,bachelors_plus,41014,1360,0.43,0.01
2021,2_county,Tolland County,white,ages25plus,82436,1936,NA,NA
2021,2_county,Tolland County,white,less_than_hs,3454,556,0.04,0.007
2021,2_county,Tolland County,white,high_school,22231,1100,0.27,0.012
2021,2_county,Tolland County,white,some_college_aa,21900,959,0.27,0.01
2021,2_county,Tolland County,white,bachelors_plus,34851,1145,0.42,0.01
2021,2_county,Tolland County,black,ages25plus,2679,385,NA,NA
2021,2_county,Tolland County,black,less_than_hs,323,155,0.12,0.055
2021,2_county,Tolland County,black,high_school,786,195,0.29,0.059
2021,2_county,Tolland County,black,some_college_aa,617,191,0.23,0.063
2021,2_county,Tolland County,black,bachelors_plus,953,223,0.36,0.066
2021,2_county,Tolland County,latino,ages25plus,4657,555,NA,NA
2021,2_county,Tolland County,latino,less_than_hs,759,239,0.16,0.048
2021,2_county,Tolland County,latino,high_school,1401,300,0.3,0.054
2021,2_county,Tolland County,latino,some_college_aa,1211,289,0.26,0.054
2021,2_county,Tolland County,latino,bachelors_plus,1286,279,0.28,0.05
2021,2_county,Tolland County,asian,ages25plus,3937,368,NA,NA
2021,2_county,Tolland County,asian,less_than_hs,294,171,0.07,0.043
2021,2_county,Tolland County,asian,high_school,190,106,0.05,0.027
2021,2_county,Tolland County,asian,some_college_aa,347,140,0.09,0.035
2021,2_county,Tolland County,asian,bachelors_plus,3106,275,0.79,0.102
2021,2_county,Tolland County,aian,ages25plus,112,68,NA,NA
2021,2_county,Tolland County,aian,less_than_hs,11,37,0.1,0.325
2021,2_county,Tolland County,aian,high_school,13,15,0.12,0.114
2021,2_county,Tolland County,aian,some_college_aa,80,43,0.71,0.579
2021,2_county,Tolland County,aian,bachelors_plus,8,34,0.07,0.3
2021,2_county,Tolland County,other_race,ages25plus,4432,592,NA,NA
2021,2_county,Tolland County,other_race,less_than_hs,656,204,0.15,0.042
2021,2_county,Tolland County,other_race,high_school,1289,355,0.29,0.07
2021,2_county,Tolland County,other_race,some_college_aa,1255,299,0.28,0.056
2021,2_county,Tolland County,other_race,bachelors_plus,1232,305,0.28,0.058
2021,2_county,Windham County,total,ages25plus,81955,2041,NA,NA
2021,2_county,Windham County,total,less_than_hs,8662,736,0.11,0.009
2021,2_county,Windham County,total,high_school,28630,1052,0.35,0.009
2021,2_county,Windham County,total,some_college_aa,24656,1227,0.3,0.013
2021,2_county,Windham County,total,bachelors_plus,20007,1006,0.24,0.011
2021,2_county,Windham County,white,ages25plus,69955,1693,NA,NA
2021,2_county,Windham County,white,less_than_hs,5960,537,0.09,0.007
2021,2_county,Windham County,white,high_school,24405,958,0.35,0.011
2021,2_county,Windham County,white,some_college_aa,21585,962,0.31,0.012
2021,2_county,Windham County,white,bachelors_plus,18005,857,0.26,0.011
2021,2_county,Windham County,black,ages25plus,1613,318,NA,NA
2021,2_county,Windham County,black,less_than_hs,314,160,0.19,0.091
2021,2_county,Windham County,black,high_school,481,145,0.3,0.068
2021,2_county,Windham County,black,some_college_aa,514,193,0.32,0.102
2021,2_county,Windham County,black,bachelors_plus,304,133,0.19,0.074
2021,2_county,Windham County,latino,ages25plus,7710,626,NA,NA
2021,2_county,Windham County,latino,less_than_hs,2171,312,0.28,0.033
2021,2_county,Windham County,latino,high_school,2816,350,0.37,0.034
2021,2_county,Windham County,latino,some_college_aa,1803,345,0.23,0.041
2021,2_county,Windham County,latino,bachelors_plus,920,230,0.12,0.028
2021,2_county,Windham County,asian,ages25plus,1067,210,NA,NA
2021,2_county,Windham County,asian,less_than_hs,174,83,0.16,0.071
2021,2_county,Windham County,asian,high_school,326,118,0.31,0.093
2021,2_county,Windham County,asian,some_college_aa,207,103,0.19,0.089
2021,2_county,Windham County,asian,bachelors_plus,360,112,0.34,0.081
2021,2_county,Windham County,aian,ages25plus,192,100,NA,NA
2021,2_county,Windham County,aian,less_than_hs,38,43,0.2,0.199
2021,2_county,Windham County,aian,high_school,20,36,0.1,0.179
2021,2_county,Windham County,aian,some_college_aa,71,64,0.37,0.272
2021,2_county,Windham County,aian,bachelors_plus,63,52,0.33,0.21
2021,2_county,Windham County,other_race,ages25plus,5934,632,NA,NA
2021,2_county,Windham County,other_race,less_than_hs,1468,294,0.25,0.042
2021,2_county,Windham County,other_race,high_school,2132,412,0.36,0.058
2021,2_county,Windham County,other_race,some_college_aa,1442,304,0.24,0.044
2021,2_county,Windham County,other_race,bachelors_plus,892,226,0.15,0.035
2021,3_region,0900100,total,ages25plus,121076,2748,NA,NA
2021,3_region,0900100,total,less_than_hs,12048,1025,0.1,0.008
2021,3_region,0900100,total,high_school,26760,1307,0.22,0.01
2021,3_region,0900100,total,some_college_aa,26567,1314,0.22,0.01
2021,3_region,0900100,total,bachelors_plus,55701,1750,0.46,0.01
2021,3_region,0900100,white,ages25plus,85522,2078,NA,NA
2021,3_region,0900100,white,less_than_hs,3712,453,0.04,0.005
2021,3_region,0900100,white,high_school,17588,1005,0.21,0.011
2021,3_region,0900100,white,some_college_aa,18804,1052,0.22,0.011
2021,3_region,0900100,white,bachelors_plus,45418,1412,0.53,0.01
2021,3_region,0900100,black,ages25plus,6941,804,NA,NA
2021,3_region,0900100,black,less_than_hs,1183,326,0.17,0.043
2021,3_region,0900100,black,high_school,1711,343,0.25,0.04
2021,3_region,0900100,black,some_college_aa,2160,484,0.31,0.06
2021,3_region,0900100,black,bachelors_plus,1887,433,0.27,0.054
2021,3_region,0900100,latino,ages25plus,18439,1277,NA,NA
2021,3_region,0900100,latino,less_than_hs,5456,751,0.3,0.035
2021,3_region,0900100,latino,high_school,5432,680,0.29,0.031
2021,3_region,0900100,latino,some_college_aa,3888,553,0.21,0.026
2021,3_region,0900100,latino,bachelors_plus,3663,546,0.2,0.026
2021,3_region,0900100,asian,ages25plus,6521,633,NA,NA
2021,3_region,0900100,asian,less_than_hs,1110,263,0.17,0.037
2021,3_region,0900100,asian,high_school,874,230,0.13,0.033
2021,3_region,0900100,asian,some_college_aa,911,271,0.14,0.039
2021,3_region,0900100,asian,bachelors_plus,3626,453,0.56,0.044
2021,3_region,0900100,aian,ages25plus,215,180,NA,NA
2021,3_region,0900100,aian,less_than_hs,66,95,0.31,0.359
2021,3_region,0900100,aian,high_school,86,102,0.4,0.336
2021,3_region,0900100,aian,some_college_aa,33,76,0.15,0.329
2021,3_region,0900100,aian,bachelors_plus,30,85,0.14,0.378
2021,3_region,0900100,other_race,ages25plus,16223,1314,NA,NA
2021,3_region,0900100,other_race,less_than_hs,4822,808,0.3,0.044
2021,3_region,0900100,other_race,high_school,5042,735,0.31,0.038
2021,3_region,0900100,other_race,some_college_aa,3184,523,0.2,0.028
2021,3_region,0900100,other_race,bachelors_plus,3175,509,0.2,0.027
2021,3_region,0900101,total,ages25plus,76306,1890,NA,NA
2021,3_region,0900101,total,less_than_hs,2283,352,0.03,0.005
2021,3_region,0900101,total,high_school,7885,649,0.1,0.008
2021,3_region,0900101,total,some_college_aa,10554,800,0.14,0.01
2021,3_region,0900101,total,bachelors_plus,55584,1545,0.73,0.009
2021,3_region,0900101,white,ages25plus,65334,1487,NA,NA
2021,3_region,0900101,white,less_than_hs,1485,288,0.02,0.004
2021,3_region,0900101,white,high_school,6366,574,0.1,0.009
2021,3_region,0900101,white,some_college_aa,8824,698,0.14,0.01
2021,3_region,0900101,white,bachelors_plus,48659,1146,0.74,0.005
2021,3_region,0900101,black,ages25plus,1492,301,NA,NA
2021,3_region,0900101,black,less_than_hs,86,71,0.06,0.046
2021,3_region,0900101,black,high_school,242,102,0.16,0.06
2021,3_region,0900101,black,some_college_aa,373,155,0.25,0.091
2021,3_region,0900101,black,bachelors_plus,791,226,0.53,0.107
2021,3_region,0900101,latino,ages25plus,3944,506,NA,NA
2021,3_region,0900101,latino,less_than_hs,333,103,0.08,0.024
2021,3_region,0900101,latino,high_school,851,287,0.22,0.067
2021,3_region,0900101,latino,some_college_aa,841,201,0.21,0.043
2021,3_region,0900101,latino,bachelors_plus,1919,349,0.49,0.063
2021,3_region,0900101,asian,ages25plus,4203,427,NA,NA
2021,3_region,0900101,asian,less_than_hs,305,124,0.07,0.029
2021,3_region,0900101,asian,high_school,274,101,0.07,0.023
2021,3_region,0900101,asian,some_college_aa,308,103,0.07,0.023
2021,3_region,0900101,asian,bachelors_plus,3316,383,0.79,0.043
2021,3_region,0900101,aian,ages25plus,44,125,NA,NA
2021,3_region,0900101,aian,less_than_hs,0,49,0,1.114
2021,3_region,0900101,aian,high_school,0,49,0,1.114
2021,3_region,0900101,aian,some_college_aa,8,67,0.18,1.432
2021,3_region,0900101,aian,bachelors_plus,36,80,0.82,2.951
2021,3_region,0900101,other_race,ages25plus,3179,543,NA,NA
2021,3_region,0900101,other_race,less_than_hs,268,139,0.08,0.041
2021,3_region,0900101,other_race,high_school,703,299,0.22,0.086
2021,3_region,0900101,other_race,some_college_aa,510,201,0.16,0.057
2021,3_region,0900101,other_race,bachelors_plus,1698,381,0.53,0.078
2021,3_region,0900102,total,ages25plus,139372,2907,NA,NA
2021,3_region,0900102,total,less_than_hs,12250,1106,0.09,0.008
2021,3_region,0900102,total,high_school,23657,1215,0.17,0.008
2021,3_region,0900102,total,some_college_aa,22765,1258,0.16,0.008
2021,3_region,0900102,total,bachelors_plus,80700,2041,0.58,0.008
2021,3_region,0900102,white,ages25plus,83285,1975,NA,NA
2021,3_region,0900102,white,less_than_hs,2395,407,0.03,0.005
2021,3_region,0900102,white,high_school,11565,821,0.14,0.009
2021,3_region,0900102,white,some_college_aa,12755,974,0.15,0.011
2021,3_region,0900102,white,bachelors_plus,56570,1453,0.68,0.007
2021,3_region,0900102,black,ages25plus,13056,1157,NA,NA
2021,3_region,0900102,black,less_than_hs,1717,405,0.13,0.029
2021,3_region,0900102,black,high_school,3714,614,0.28,0.04
2021,3_region,0900102,black,some_college_aa,3271,518,0.25,0.033
2021,3_region,0900102,black,bachelors_plus,4354,728,0.33,0.047
2021,3_region,0900102,latino,ages25plus,28354,1514,NA,NA
2021,3_region,0900102,latino,less_than_hs,7394,778,0.26,0.024
2021,3_region,0900102,latino,high_school,6960,673,0.25,0.02
2021,3_region,0900102,latino,some_college_aa,5696,684,0.2,0.022
2021,3_region,0900102,latino,bachelors_plus,8304,875,0.29,0.027
